ID	File	Language	Dialect	Vernacular Title	Licence Type	Licence Version	CC Licence Link	Copyright Holder	Copyright Years	Translation by
kbo	E:\Work\eBible\private_projects\kbo\copr.htm	(Keliko)		Ụ́ꞌdụ́kọ́ Múké Múngú vé rị	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2017	
kby	E:\Work\eBible\private_projects\kby\copr.htm	(Kanuri, Manga)		Manga Kanuri Translation	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2018	
kdh	E:\Work\eBible\private_projects\kdh\copr.htm	(Tem)		Tawúratɩ na Injiila dɛ́ɛ fɔɔlɩ́nɩ	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2015	
key	E:\Work\eBible\private_projects\key\copr.htm	(Kupia)		Kupia New Testament	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2019	
kfc	E:\Work\eBible\private_projects\kfc\copr.htm	(Konda-Dora)		కొండ బాసదు నెగ్గి కబ్రు 2006	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2006	
kjl	E:\Work\eBible\private_projects\kjl\copr.htm	(Kham, Western Parbate)		साःरो बाचा	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2015	
kkj	E:\Work\eBible\private_projects\kkj\copr.htm	(Kako)		Mɛlɛpi mɛ Njambiyɛ Jɔnja Mbon	Unknown			Wycliffe Bible Translators, Inc.	copyright © 1999	
kma	E:\Work\eBible\private_projects\kma\copr.htm	(Konni)		Ŋmiŋ Nuahaalɩŋ Gbanɩŋ Kɔmɩŋ	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2004-2019	
knb	E:\Work\eBible\private_projects\knb\copr.htm	(Kalinga, Lubuagan)		Ha Ugud Apudyus	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2019	
kog	E:\Work\eBible\private_projects\kog\copr.htm	(Kogi)		Jatetshi múldigaba	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2015	
kqe	E:\Work\eBible\private_projects\kqe\copr.htm	(Kalagan)	Eastern	Kalagan	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2012-2019	
kqew	E:\Work\eBible\private_projects\kqew\copr.htm	(Kalagan)		Kitab Injil	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2019	
kqp	E:\Work\eBible\private_projects\kqp\copr.htm	Kimré		Magtubu tôô toɲ biɲare to kôrbi	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2007	
krj	E:\Work\eBible\private_projects\krj\copr.htm	Kinaray-a		Kinaray-a NT	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2009	
krx	E:\Work\eBible\private_projects\krx\copr.htm	(Karon)		Kuloonaay	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2018	
ksc	E:\Work\eBible\private_projects\ksc\copr.htm	Kalinga, Southern		Na ukud Apudyus	Unknown			Wycliffe Bible Translators, Inc.	copyright © 1986	
ksp	E:\Work\eBible\private_projects\ksp\copr.htm	Kabba		Tar le Lubba ke tar Kabba	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2015	
ktj	E:\Work\eBible\private_projects\ktj\copr.htm	(Krumen, Plapo)		Nyɩsʋa a ꞊haanttie	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2003	
kud2014	E:\Work\eBible\private_projects\kud2014\copr.htm	’Auhelawa			Unknown			Wycliffe Bible Translators, Inc.	copyright © 2014	
kus	E:\Work\eBible\private_projects\kus\copr.htm	(Kusaal)		Winaꞌam Gbauŋ (Ghana)	Unknown			Wycliffe Bible Translators, Inc.	copyright © 1996	
kxw	E:\Work\eBible\private_projects\kxw\copr.htm	Konai		Godiha̱ Ta̱ Bolofe̱i̱	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2014	
kyb	E:\Work\eBible\private_projects\kyb\copr.htm	Butbut Kalinga		Nan Ukud Apudyus	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2019	
kyu	E:\Work\eBible\private_projects\kyu\copr.htm	Kayah, Western		Lisǎsè̌ Athè̌ - Kayǎ Ngó̤	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2014	
kyuk	E:\Work\eBible\private_projects\kyuk\copr.htm	Western Kayah (Kayah, Western)		ꤜꤤ꤬ꤡꤢ꤭ꤏꤢꤧ꤭ ꤢ꤬ꤞꤢꤧ꤭ ꤔꤢ ꤜꤤ꤬ꤡꤢ꤭ꤏꤢꤧ꤭ ꤢ꤬ꤜꤟꤛꤢꤩ꤭ ꤒꤢ꤬ꤟꤢꤩ꤬ ꤊꤢ꤬ꤛꤢ꤭ꤜꤟꤤ꤬ꤍꤟꤥ	Unknown			Wycliffe Bible Translators, Inc.	copyright ©	
lbj	E:\Work\eBible\private_projects\lbj\copr.htm	Ladakhi		Ladakhi	Unknown			Wycliffe Bible Translators, Inc.	copyright ©	
lcp	E:\Work\eBible\private_projects\lcp\copr.htm	(Lawa, Western)		พระคัมภีร์ละว้า	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2018	
lhi	E:\Work\eBible\private_projects\lhi\copr.htm	Lahu Si		Lad hur Si Liq Phu Awg Suhx	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2015	
lik	E:\Work\eBible\private_projects\lik\copr.htm	Lika		AGɄMƐ WAMBƗYA	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2019	
lip	E:\Work\eBible\private_projects\lip\copr.htm	(Sekpele)		Onanto eto kakle fɔfɔ; Sɛkpɛle	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2008	
llu	E:\Work\eBible\private_projects\llu\copr.htm	(Lau)		Lau New Testament	Unknown			Wycliffe Bible Translators, Inc.	copyright © 1992	
lmd	E:\Work\eBible\private_projects\lmd\copr.htm	Lumun		Lumun	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2020	
log	E:\Work\eBible\private_projects\log\copr.htm	Logo		BÚKÙ TÀ TƗ́DHƗ́//RU YÌZO DHƗ ÀDHYA	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2015	
loq	E:\Work\eBible\private_projects\loq\copr.htm	(Lobala)		Sangola Eenyakune	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2018	
lro	E:\Work\eBible\private_projects\lro\copr.htm	(Laro)		Laro Bible (Bible)	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2020	
luc	E:\Work\eBible\private_projects\luc\copr.htm	(Aringa)		Ị́jọ́ Úꞌdí rĩ	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2018	
lwo	E:\Work\eBible\private_projects\lwo\copr.htm	(Luwo)		Anweehd Me Nyaahn	Unknown			Wycliffe Bible Translators, Inc.	copyright © 2003	
mai	E:\Work\eBible\private_projects\mai\copr.htm	Maithili		jivən səndesh	Unknown			Wycliffe Bible Translators, Inc. and The Bible Society of India	copyright © 2020	
mbd	E:\Work\eBible\private_projects\mbd\copr.htm	Dibabawon Manobo		Dibabawon Manobo texts	Unknown			Wycliffe Bible Translators, Inc.	copyright © 1988	
mbi	E:\Work\eBible\private_projects\mbi\copr.htm	Manobo, Ilianen		Ke meupiya ne tudtul mekeatag ki Hisu Kristu	Unknown			Wycliffe Bible Translators, Inc.	copyright © 1989	
