ID	File	Language	Dialect	Vernacular Title	Licence Type	Licence Version	CC Licence Link	Copyright Holder	Copyright Years	Translation by
aai	E:\Work\eBible\projects\aai\copr.htm	Miniafia			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/			Translation by: anonymous
aak	E:\Work\eBible\projects\aak\copr.htm	Angave (Ankave)			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1990	Translation by: Wycliffe Bible Translators
aau	E:\Work\eBible\projects\aau\copr.htm	Abau			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2006	Translation by: Wycliffe Bible Translators
aaz	E:\Work\eBible\projects\aaz\copr.htm	Amarasi		Uisneno In Kabin ma Prenat: Rais Manba'an Fe'u nok Reta' Ahun-hunut	by-nd	4.0	http://creativecommons.org/licenses/by-nd/4.0/	Unit Bahasa dan Budaya, Kupang NTT, Indonesia	copyright © 1999-2014	Translation by: Wycliffe Bible Translators
abt-maprik	E:\Work\eBible\projects\abt-maprik\copr.htm	Ambulas (Maprik) (Ambulas)	Maprik		by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1983	Translation by: Wycliffe Bible Translators
abt-wosera	E:\Work\eBible\projects\abt-wosera\copr.htm	Ambulas (Wosera) (Wosera-Kamu dialect of Ambulas)	Wosera-Kamu		by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1996	Translation by: Wycliffe Bible Translators
abx	E:\Work\eBible\projects\abx\copr.htm	Inabaknon		I Baha'o Kasuratan	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1996	Translation by: Wycliffe Bible Translators, Inc.
aby	E:\Work\eBible\projects\aby\copr.htm	Aneme Wake			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1988	Translation by: Wycliffe Bible Translators
acfNT	E:\Work\eBible\projects\acfNT\copr.htm	Saint Lucian Creole French		Tèstèman nèf-la: Épi an posyòn an liv samz-la	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1999	Translation by: Wycliffe Bible Translators, Inc.
acr-acc	E:\Work\eBible\projects\acr-acc\copr.htm	Achi	Cubulco	I 'utz laj tzij re i dios	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2009	Translation by: Wycliffe Bible Translators, Inc.
acrNNT	E:\Work\eBible\projects\acrNNT\copr.htm	Achi	Rabinal	Ri utzilaj tzij re ri kanimajawal Jesucristo	by-nd	4.0	http://creativecommons.org/licenses/by-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2009	Translation by: Wycliffe Bible Translators, Inc.
acrTNT	E:\Work\eBible\projects\acrTNT\copr.htm	Achi	Rabinal	Ri utzilaj tzij re ri kanimajawal Jesucristo	by-nd	4.0	http://creativecommons.org/licenses/by-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2009	Translation by: Wycliffe Bible Translators, Inc.
acuNT	E:\Work\eBible\projects\acuNT\copr.htm	Achuar-shiwiar		Achuar Peru OT Por and NT 2019 4th edition	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2019-07-01	Translation by: Wycliffe Bible Translators, Inc.
adt	E:\Work\eBible\projects\adt\copr.htm	Adnyamathanha		Adnyamathanha Christmas Story	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/			
adz	E:\Work\eBible\projects\adz\copr.htm	Adzera			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2009-2022	Translation by: Wycliffe Bible Translators
aer	E:\Work\eBible\projects\aer\copr.htm	Eastern Arrente (Arrernte, Eastern)		Angkentye Mwerre	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators	copyright © 2002-2014	
aey	E:\Work\eBible\projects\aey\copr.htm	Amele			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1997	
agd	E:\Work\eBible\projects\agd\copr.htm	Agarabi			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/			Translation by: Wycliffe Bible Translators
agg	E:\Work\eBible\projects\agg\copr.htm	Angor			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/			
agm	E:\Work\eBible\projects\agm\copr.htm	Angaataha			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2004	Translation by: PNG Bible Translation Association
agn	E:\Work\eBible\projects\agn\copr.htm	Agutaynen		Ang bitala tang Dios: ba-long inigoan; Ang bagong magandang balita: bagong tipan	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2004	Translation by: Wycliffe Bible Translators, Inc.
agr	E:\Work\eBible\projects\agr\copr.htm	Aguaruna		Awajún [Aguaruna]	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2020	Translation by: Wycliffe Bible Translators
agt	E:\Work\eBible\projects\agt\copr.htm	Central Cagayan Agta (Agta, Central Cagayan)		Uhohug na Namaratu gafu te Hesus Kristu	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1992	Translation by: Wycliffe Bible Translators
aguBl	E:\Work\eBible\projects\aguBl\copr.htm	Aguacateco		Yi Antiw Bible / Yi Ac'aj Testament	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2011	Translation by: Wycliffe Bible Translators, Inc.
aia	E:\Work\eBible\projects\aia\copr.htm	Arosi		Taroha Goro mana Usuusu Maea	by-nd	4.0	http://creativecommons.org/licenses/by-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2005	Translation by: SITAG
aii	E:\Work\eBible\projects\aii\copr.htm	ܐܵܬ݂ܘܼܪܵܝܲܐ ܠܸܫܵܢܵܐ (Assyrian Neo-Aramaic)		ܕܝܬܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ ܘܡܙܡܘܪ̈ܐ ܒܠܫܢܐ ܐܬܘܪܝܐ	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Aramaic Bible Translation, Inc.	copyright © 2014	Translation by: Aramaic Bible Translation, Inc.
aka	E:\Work\eBible\projects\aka\copr.htm	Asante Twi (Twi)	Asante	Biblica® Wonhia ɛho kwamma nhoma Asante Twi Nkwa Asɛm™	by-sa	4.0	http://creativecommons.org/licenses/by-sa/4.0/	Biblica, Inc.	copyright © 2020	Translation by: Biblica, Inc.
akeNT	E:\Work\eBible\projects\akeNT\copr.htm	Akawaio		Wakʉ Itekare: Emenna' Pe Ekonekan Nɨto'	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2010	Translation by: Wycliffe Bible Translators, Inc.
alh	E:\Work\eBible\projects\alh\copr.htm	Alawa		Alawa Song Buk	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/			
alpNT	E:\Work\eBible\projects\alpNT\copr.htm	Alune			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2012	Translation by: Wycliffe Bible Translators, Inc.
alqALGNT	E:\Work\eBible\projects\alqALGNT\copr.htm	Algonquin		Kije Manido Odikido8in: Ocki Mazinaigan	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Canadian Bible Society	copyright © 1998	Translation by: Canadian Bible Society
alsSHQ	E:\Work\eBible\projects\alsSHQ\copr.htm	shqiptar (Albanian, Tosk)		Bibla e Shenjtë	Public Domain			Public Domain		Translation by: Albanian Bible Society
aly	E:\Work\eBible\projects\aly\copr.htm	Alyawarr		Alyawarr Bible	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators	copyright © 2009	
ameNT	E:\Work\eBible\projects\ameNT\copr.htm	Yanesha'		Yompor Poʼñoñ ñeñt ̃ attõ Yepartseshar Jesucristo eʼñe etserra aʼpoctaterrnay Yomporesho	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2008	Translation by: Wycliffe Bible Translators, Inc.
amf	E:\Work\eBible\projects\amf\copr.htm	Banna (Hamer-Banna)		Haalin Mallano	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	SIM International	copyright © 2014	Translation by: SIM
amk	E:\Work\eBible\projects\amk\copr.htm	Ambai		Sempaisi Ne Kaiwo Mirarebanai	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2010	Translation by: Wycliffe Bible Translators
amm	E:\Work\eBible\projects\amm\copr.htm	Sawiyanu (Ama)			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1990, 2009	Translation by: Wycliffe Bible Translators
amn-amanab	E:\Work\eBible\projects\amn-amanab\copr.htm	Amanab	Amanab		by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/			Translation by: Wycliffe Bible Translators
amn-n	E:\Work\eBible\projects\amn-n\copr.htm	Amanab (Naineri) (Amanab)	Naineri		by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2011	Translation by: Wycliffe Bible Translators
amo	E:\Work\eBible\projects\amo\copr.htm	Timap (Amo)		Amo New Testament	by-sa	4.0	http://creativecommons.org/licenses/by-sa/4.0/	Door43 World Missions Community	copyright © 2020	Translation by: AFenlason, ALHASSAN SUDA, Chrispher Ishaya, James, Kawusu David, Pungs Makarios, Zephaniah A. Isau, tab04-nig, tab12-nig
amp	E:\Work\eBible\projects\amp\copr.htm	Alamblak			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2003, 2004	Translation by: Wycliffe Bible Translators
amrNT	E:\Work\eBible\projects\amrNT\copr.htm	Amarakaeri		Jesucristo oy oa’pak: Kenda Jesucristoa; monigka’uyatenok; Diostaj mo’manopo’yarea’ika’ne	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2008	Translation by: Wycliffe Bible Translators, Inc.
amuNT	E:\Work\eBible\projects\amuNT\copr.htm	Amuzgo, Guerrero		Ñʼoom xco na tqueⁿ tyʼo̱o̱tsʼom cantxja ʼnaaʼ Jesucristo	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1999	Translation by: Wycliffe Bible Translators, Inc.
amx	E:\Work\eBible\projects\amx\copr.htm	Anmatyerr (Anmatyerre)		Anmatyerr Bible	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators	copyright © 2015	
anh	E:\Work\eBible\projects\anh\copr.htm	Nend			by-nd	4.0	http://creativecommons.org/licenses/by-nd/4.0/	Pioneer Bible Translators	copyright © 2004	
anvNT	E:\Work\eBible\projects\anvNT\copr.htm	Denya		Ŋwɛ menomenyɛɛ́ mekɛ́	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2010	Translation by: Wycliffe Bible Translators, Inc.
aoi	E:\Work\eBible\projects\aoi\copr.htm	Anindilyakwa		Anindilyakwa Bible	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Bible Society of Australia	copyright © 2019	
aoj	E:\Work\eBible\projects\aoj\copr.htm	Mufian			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1998	Translation by: Wycliffe Bible Translators
aoj-filifita	E:\Work\eBible\projects\aoj-filifita\copr.htm	Filifita (Filifita dialect of Mufian)	Filifita or Ilahita		by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1998	
aom	E:\Work\eBible\projects\aom\copr.htm	Ömie (Omie)			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1991	Translation by: Wycliffe Bible Translators
aon	E:\Work\eBible\projects\aon\copr.htm	Arapesh	Central		by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2003	Translation by: Wycliffe Bible Translators
apb	E:\Work\eBible\projects\apb\copr.htm	Sa'a		Tataroha Diana i Sulie Aalaha Ikie a Jisas Kraes	by-nd	4.0	http://creativecommons.org/licenses/by-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2005	Translation by: SITAG
apeB	E:\Work\eBible\projects\apeB\copr.htm	Bukiyip	Mountain Arapesh		by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2013	Translation by: Wycliffe Bible Translators
apec	E:\Work\eBible\projects\apec\copr.htm	Coastal Arapesh (Bukiyip)	Central		by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2003	
apnNT	E:\Work\eBible\projects\apnNT\copr.htm	Apinayé		Tĩrtũm kapẽr ã kagà nyw	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1999	Translation by: Wycliffe Bible Translators, Inc.
apr	E:\Work\eBible\projects\apr\copr.htm	Arop-Lokep	Arop		by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2013	Translation by: Wycliffe Bible Translators
apuNT	E:\Work\eBible\projects\apuNT\copr.htm	Apurinã		Teoso sãkire amaneri	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2004	Translation by: Wycliffe Bible Translators, Inc.
apwNT	E:\Work\eBible\projects\apwNT\copr.htm	Western Apache (Apache, Western)		The New Testament of our Lord and Saviour Jesus Christ	by-nd	4.0	http://creativecommons.org/licenses/by-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2012	Translation by: Wycliffe Bible Translators, Inc.
apz	E:\Work\eBible\projects\apz\copr.htm	Ampeeli-Wojokeso (Safeyoka)			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1988	Translation by: Wycliffe Bible Translators
arb-vd	E:\Work\eBible\projects\arb-vd\copr.htm	العربية (Arabic)	standard	الكتاب المقدس باللغة العربية، فان دايك	Public Domain			Public Domain		Translation by: Syriac Mission
arbnav	E:\Work\eBible\projects\arbnav\copr.htm	العربية (Arabic, Standard)		كتاب الحياة	by-sa	4.0	http://creativecommons.org/licenses/by-sa/4.0/	International Bible Society	copyright © 1988, 1997	Translation by: International Bible Society
are	E:\Work\eBible\projects\are\copr.htm	Western Arrarnta (Arrarnta, Western)		Altjirraka angkatja  - Arrarnturna kngartiwukala	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Bible Society of Australia	copyright © 1997	
arlNT	E:\Work\eBible\projects\arlNT\copr.htm	Arabela		Quiarinio pueyaso rupaa pa jiyaniijia Jesucristojiniji pueyano rupaajinia	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2008	Translation by: Wycliffe Bible Translators, Inc.
arnNT	E:\Work\eBible\projects\arnNT\copr.htm	Mapudungun		Ngünechen ñi Küme Dungu	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2011	Translation by: Wycliffe Bible Translators, Inc.
arp	E:\Work\eBible\projects\arp\copr.htm	Arapaho		Hethadenee waunauyaunee vadan Luke Vanenāna	Public Domain			Public Domain		Translation by: Michael White Hawk and John Roberts
asmfb	E:\Work\eBible\projects\asmfb\copr.htm	অসমীয়া (Assamese)	Standard	ইণ্ডিয়ান ৰিভাইচ ভাৰচন (IRV) আচামিচ - 2019	by-sa	4.0	http://creativecommons.org/licenses/by-sa/4.0/	Bridge Connectivity Solutions	copyright © 2017, 2018	Translation by: Bridge Connectivity Solutions
aso	E:\Work\eBible\projects\aso\copr.htm	Dano			by-nd	4.0	http://creativecommons.org/licenses/by-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1989	Translation by: Wycliffe Bible Translators
ata	E:\Work\eBible\projects\ata\copr.htm	Pele-Ata			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/			Translation by: Wycliffe Bible Translators
atbNT	E:\Work\eBible\projects\atbNT\copr.htm	Zaiwa		Chyoiyúng chyumlaiká: dangshikaq asik; Zaiwa	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2009	Translation by: Wycliffe Bible Translators, Inc.
atdNT	E:\Work\eBible\projects\atdNT\copr.htm	Manobo, Ata		Kasulatan to Magboboot	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2000	Translation by: Wycliffe Bible Translators, Inc.
atgNT	E:\Work\eBible\projects\atgNT\copr.htm	Ivbie North-Okpela-Arhe		Ebe-No-Pfuasẹ Ishobọ Onogbọ	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2012	Translation by: Wycliffe Bible Translators, Inc.
att	E:\Work\eBible\projects\att\copr.htm	Pamplona Atta (Atta, Pamplona)		Yù bilin ni Namarò nga meyannung kâ Apu Kesu Kiristu: Yù bagu nga tarátu ni Namarò sù ira nga mangikatalà kâ Apu Kesu Kiristu	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1996	Translation by: Wycliffe Bible Translators, Inc.
aucNT	E:\Work\eBible\projects\aucNT\copr.htm	Waorani		Wængonguï nänö Apæ̈negaïnö	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2009	Translation by: Wycliffe Bible Translators, Inc.
aui	E:\Work\eBible\projects\aui\copr.htm	Anuki			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2010-2016	Translation by: Wycliffe Bible Translators
auy	E:\Work\eBible\projects\auy\copr.htm	Awiyaana			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1984	Translation by: Wycliffe Bible Translators
avt	E:\Work\eBible\projects\avt\copr.htm	Au			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1992	Translation by: Wycliffe Bible Translators
awb	E:\Work\eBible\projects\awb\copr.htm	Awa			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1974, 1997	Translation by: Wycliffe Bible Translators
awk	E:\Work\eBible\projects\awk\copr.htm	Awabakalkoba (Awabakal)		EUANGELION UNNI TA JESU-ÚBA CHRIST-KO-BA UPATOARA LUKA-UMBA	Public Domain			Public Domain		
awx	E:\Work\eBible\projects\awx\copr.htm	Awara			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2011	Translation by: Wycliffe Bible Translators
azb	E:\Work\eBible\projects\azb\copr.htm	Azeri (Azerbaijani, South)		Azərbaycan dilində Müqəddəs Kitab	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/			Translation by: Institute for Bible Translation
azgNT	E:\Work\eBible\projects\azgNT\copr.htm	Amuzgo, San Pedro Amuzgos		Jnʼoon xco na tquen tyoʼtsʼon	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1992	Translation by: Wycliffe Bible Translators, Inc.
azzNT	E:\Work\eBible\projects\azzNT\copr.htm	Nahuatl, Highland Puebla		In cuali tajtoltzin de Dios	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1975	Translation by: Wycliffe Bible Translators, Inc.
baoNT	E:\Work\eBible\projects\baoNT\copr.htm	Waimaha		U̶mʉreco pacʉ wederique	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2010	Translation by: Wycliffe Bible Translators, Inc.
bba	E:\Work\eBible\projects\bba\copr.htm	Bariba (Baatonum)		Bibeli Gusunɔn Gari	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	SIM	copyright © 2013	Translation by: SIM International
bbb	E:\Work\eBible\projects\bbb\copr.htm	Barai			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1994, 2006	Translation by: Wycliffe Bible Translators
bbr	E:\Work\eBible\projects\bbr\copr.htm	Girawa			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1994	Translation by: Wycliffe Bible Translators
bch	E:\Work\eBible\projects\bch\copr.htm	Bariai			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2012	Translation by: Wycliffe Bible Translators
bco	E:\Work\eBible\projects\bco\copr.htm	Kaluli			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1998	Translation by: Wycliffe Bible Translators
bdd	E:\Work\eBible\projects\bdd\copr.htm	Bunama			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1991	Translation by: Wycliffe Bible Translators
bea	E:\Work\eBible\projects\bea\copr.htm	Dane Zaa (Beaver)		OOTECH OOCHU TAKEHNIYA TINKLES ST. MARK	Public Domain			Public Domain		Translation by: Rev. A. C. Garrioch
bef	E:\Work\eBible\projects\bef\copr.htm	Bena-bena (Benabena)			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1982	Translation by: Wycliffe Bible Translators
bel	E:\Work\eBible\projects\bel\copr.htm	Belarusian		Біблія (пераклад В.Сёмухі)	by-nc	4.0	http://creativecommons.org/licenses/by-nc/4.0/	John the Forerunner Church of Christians of Evangelical Faith of Minsk City	copyright © 2016	Translation by: Antoni Bokun
beln	E:\Work\eBible\projects\beln\copr.htm	беларуская		Новы Запавет і Кнігі Старога Запавету	by-nc	4.0	http://creativecommons.org/licenses/by-nc/4.0/	John the Forerunner Church of Christians of Evangelical Faith of Minsk City	copyright © 2016	
ben2017	E:\Work\eBible\projects\ben2017\copr.htm	বাংলা (Bengali)		ইন্ডিয়ান রিভাইজড ভার্সন (IRV) - বেঙ্গলী	by-sa	4.0	http://creativecommons.org/licenses/by-sa/4.0/	Bridge Connectivity Solutions	copyright © 2017	Translation by: Bridge Connectivity Solutions
beo	E:\Work\eBible\projects\beo\copr.htm	Bedamuni (Beami)			by-sa	4.0	http://creativecommons.org/licenses/by-sa/4.0/			Translation by: Tom Hoey
beu	E:\Work\eBible\projects\beu\copr.htm	Pura (Blagar)	Pura		by-nd	4.0	http://creativecommons.org/licenses/by-nd/4.0/	Unit Bahasa dan Budaya	copyright © 2016	Translation by: Wycliffe Bible Translators
bgs	E:\Work\eBible\projects\bgs\copr.htm	Tagabawa		Kagi Ka Manama	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2004	Translation by: Wycliffe Bible Translators, Inc.
bgt	E:\Work\eBible\projects\bgt\copr.htm	Bughotu		Na Rorongo Ke Toke Eigna a Jisas Krais	by-nd	4.0	http://creativecommons.org/licenses/by-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2009	Translation by: SITAG
bhg	E:\Work\eBible\projects\bhg\copr.htm	Binandere			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2014-2021	Translation by: Wycliffe Bible Translators
bhl	E:\Work\eBible\projects\bhl\copr.htm	Bimin			by-nd	4.0	http://creativecommons.org/licenses/by-nd/4.0/			Translation by: Wycliffe Bible Translators
big	E:\Work\eBible\projects\big\copr.htm	Biangai			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1985	Translation by: Wycliffe Bible Translators
bjk	E:\Work\eBible\projects\bjk\copr.htm	Barok	Usen		by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2016	
bjp	E:\Work\eBible\projects\bjp\copr.htm	Fanamaket			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2011-2021	Translation by: Wycliffe Bible Translators
bjr	E:\Work\eBible\projects\bjr\copr.htm	Binumarien			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1983, 2001, 2017	Translation by: Wycliffe Bible Translators
bjvNT	E:\Work\eBible\projects\bjvNT\copr.htm	Bedjond		KƗLӘ-MƗNDƗ KƗ SƗGƗ	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2011	Translation by: Wycliffe Bible Translators, Inc.
bjz	E:\Work\eBible\projects\bjz\copr.htm	Baruga	Tafota		by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2017	
bkd	E:\Work\eBible\projects\bkd\copr.htm	Binukid		Lalang hu Dios	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 1986	Translation by: Wycliffe Bible Translators, Inc.
bki	E:\Work\eBible\projects\bki\copr.htm	Baki		Verikariano Vou Na Baki	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2016	
bkqNT	E:\Work\eBible\projects\bkqNT\copr.htm	Bakairí		Deus Itaumbyry	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2011	Translation by: Wycliffe Bible Translators, Inc.
