languageCode,translationId,script,Count - script,dialect,homeDomain,title,description,Redistributable,Copyright,UpdateDate,publicationURL,OTbooks,OTchapters,OTverses,NTbooks,NTchapters,NTverses,DCbooks,DCchapters,DCverses,FCBHID,Certified,inScript,swordName,rodCode,textDirection,downloadable,font,shortTitle,PODISBN,script,sourceDate,licence_ID,licence_File,licence_Language,licence_Dialect,licence_Vernacular_Title,licence_Licence_Type,licence_Licence_Version,licence_CC_Licence_Link,licence_Copyright_Holder,licence_Copyright_Years,licence_Translation_by,licence_date_read,status_download_path,status_download_date,status_unzip_path,status_unzip_date,status_extract_path,status_extract_date,status_extract_renamed_date,status_extract_original_filename,status_last_error,status_inferred_versification,,File exists in scripture folder,MT\Scripture filename,Comparison,,,Files in Scripture Folder
bqc,bqcsim,Boko,Boko,,ebible.org,Bibeli Luayãtaalá,The Holy Bible in the Boko language spoken in Benin and Nigeria,True,Copyright © 2010 SIM International,2014-09-25,http://ebible.org/bqcsim/,39,929,23054,27,260,7930,0,0,0,BQCSIM,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,bqcsim2010eb,,ltr,True,Gentium Plus,Boko (Benin) Bible,978-1-5313-0105-7,Latin,2016-09-15,bqcsim,C:\ebible_data\projects\bqcsim\copr.htm,Boko,,Bibeli Luayãtaalá,by-nc-nd,4,http://creativecommons.org/licenses/by-nc-nd/4.0/,SIM International,copyright © 2010,Translation by: SIM International,2025-05-01,C:\ebible_data\downloads\bqcsim--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\bqcsim,2025-05-01,C:\ebible_data\corpus\bqcsim.txt,2025-05-01,2025-05-10,bqc-bqcsim.txt,,1,,#N/A,,,,,acw-arb.txt
bqj,bqj,Bandial,Bandial,,ebible.org,Firim fafu fal Aláemit,Bandial: Firim fafu fal Aláemit Bible,False,"Copyright © 2015 Wycliffe Bible Translators, Inc.",2025-04-29,http://ebible.org/bqj/,3,58,1645,27,260,7939,0,0,0,BQJWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,bqj2015eb,,ltr,True,DejaVu Serif,Bandial: Firim fafu fal Aláemit Bible,,Latin,2025-04-29,bqj,C:\ebible_data\private_projects\bqj\copr.htm,Bandial,,Firim fafu fal Aláemit,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 2015,,2025-04-30,C:\ebible_data\downloads\bqj--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\bqj,2025-04-30,C:\ebible_data\private_corpus\bqj.txt,2025-04-30,2025-05-07,bqj.txt,,1,,#N/A,,,,,bcw-bcw.txt
bqp,bqp,Bisã,Busa,,ebible.org,Luda yã takada kũ Bisã yão,Portions of the Holy Bible in the Busa language of Nigeria,True,Copyright © 2005 SIM International,2014-10-10,http://ebible.org/bqp/,38,737,17695,27,260,7930,0,0,0,BQPSIM,False,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,bqp2005eb,,ltr,True,Gentium Plus,Bisa Bible,978-1-5313-0106-4,Latin,2020-10-09,bqp,C:\ebible_data\projects\bqp\copr.htm,Bisã (Busa),,Luda yã takada kũ Bisã yão,by-nc-nd,4,http://creativecommons.org/licenses/by-nc-nd/4.0/,SIM International,copyright © 2005,Translation by: SIM,2025-05-01,C:\ebible_data\downloads\bqp--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\bqp,2025-05-01,C:\ebible_data\corpus\bqp.txt,2025-05-01,2025-05-10,bqp-bqp.txt,,4,,#N/A,,,,,arp-ARP.txt
brb,brb,Brao,Brao,,ebible.org,ព្រះគម្ពីរ ព្រៅ,Brao Cambodia NT,False,"Copyright © 2020 Wycliffe Bible Translators, Inc.",2025-04-29,http://ebible.org/brb/,4,208,1718,19,190,6059,0,0,0,BRBWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,brb2020eb,,ltr,True,Hanuman,Brao Cambodia NT,,Khmer,2025-04-29,brb,C:\ebible_data\private_projects\brb\copr.htm,Brao,,ព្រះគម្ពីរ ព្រៅ,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 2020,,2025-04-30,C:\ebible_data\downloads\brb--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\brb,2025-04-30,C:\ebible_data\private_corpus\brb.txt,2025-04-30,2025-05-07,brb.txt,,4,,#N/A,,,,,bcc-BCC_lat_2025_02_19.txt
bre,breBRG,Brezhoneg,Breton,,ebible.org,an Bibl,"The Gospels in the Breton language of France, 1827 edition",True,public domain,2014-08-11,http://ebible.org/breBRG/,0,0,0,4,89,3779,0,0,0,BREBRG,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,breBRG1827eb,,ltr,True,Gentium,Breton Gospels,978-1-5313-0107-1,Latin,2020-10-09,breBRG,C:\ebible_data\projects\breBRG\copr.htm,,,an Bibl,Public Domain,,,Public Domain,,,2025-05-01,C:\ebible_data\downloads\breBRG--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\breBRG,2025-05-01,C:\ebible_data\corpus\breBRG.txt,2025-05-01,2025-05-10,bre-breBRG.txt,,1,,#N/A,,,,,daa-daaNT_eBible.txt
bru,bru,Eastern Bru,Eastern Bru,,ebible.org,Parnai Yiang Sursĩ - Kinh Thánh tiếng Bru,"Bru, Eastern: Parnai Yiang Sursĩ - Kinh Thánh tiếng Bru Bible",False,"Copyright © 2015 Wycliffe Bible Translators, Inc.",2020-11-17,http://ebible.org/bru/,39,929,22874,27,260,7921,0,0,0,BRUWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,bru2015eb,,ltr,True,DejaVu Serif,"Bru, Eastern: Parnai Yiang Sursĩ - Kinh Thánh tiếng Bru Bible",,Latin,2020-11-17,bru,C:\ebible_data\private_projects\bru\copr.htm,Eastern Bru,,Parnai Yiang Sursĩ - Kinh Thánh tiếng Bru,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 2015,,2025-04-30,C:\ebible_data\downloads\bru--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\bru,2025-04-30,C:\ebible_data\private_corpus\bru.txt,2025-04-30,2025-05-07,bru.txt,,4,,#N/A,,,,,aau-aauNT.txt
bsc,bsc,Oniyan,Oniyan,,ebible.org,Oniyan,Oniyan: Oniyan (New Testament+),False,"Copyright © 2017 Wycliffe Bible Translators, Inc.",2025-04-29,http://ebible.org/bsc/,1,50,1533,27,260,7954,0,0,0,BSCWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,bsc2017eb,,ltr,True,DejaVu Serif,Oniyan Bible,,Latin,2025-04-29,bsc,C:\ebible_data\private_projects\bsc\copr.htm,Oniyan,,Oniyan,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 2017,,2025-04-30,C:\ebible_data\downloads\bsc--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\bsc,2025-04-30,C:\ebible_data\private_corpus\bsc.txt,2025-04-30,2025-05-07,bsc.txt,,1,,#N/A,,,,,blr-BLR_2024_09_30.txt
bsj,bsj,Bangunji,Bangwinji,,ebible.org,Bangwinji,The New Testament in the Bangwinji language of Nigeria,True,Copyright © 2020 Door43 Worldwide Mission Community,2024-05-01,http://ebible.org/bsj/,0,0,0,26,255,7825,0,0,0,BSJDOO,False,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,bsj2020eb,,ltr,True,DejaVu Serif,Bangwinji NT,,Latin,2024-05-01,bsj,C:\ebible_data\projects\bsj\copr.htm,Bangunji (Bangwinji),,Bangwinji,by-sa,4,http://creativecommons.org/licenses/by-sa/4.0/,Door43 Worldwide Mission Community,copyright © 2020,Translation by: Door43 Worldwide Mission Community,2025-05-01,C:\ebible_data\downloads\bsj--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\bsj,2025-05-01,C:\ebible_data\corpus\bsj.txt,2025-05-01,2025-05-10,bsj-bsj.txt,,4,,#N/A,,,,,daa-daaNT.txt
bsn,bsnNT,Barasana-Eduria,Barasana-Eduria,,ebible.org,Dios oca gotirituti,New Testament in Barasana-Eduria (CO:bsn:Barasana-Eduria),True,"Copyright © 2010 Wycliffe Bible Translators, Inc.",2014-04-22,http://ebible.org/bsnNT/,0,0,0,27,260,7548,0,0,0,BSNTBL,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,bsn2010eb,,ltr,True,Gentium Plus,Barasana-Eduria NT,978-1-5313-0108-8,Latin,2014-04-23,bsnNT,C:\ebible_data\projects\bsnNT\copr.htm,Barasana-Eduria,,Dios oca gotirituti,by-nc-nd,4,http://creativecommons.org/licenses/by-nc-nd/4.0/,"Wycliffe Bible Translators, Inc.",copyright © 2010,"Translation by: Wycliffe Bible Translators, Inc.",2025-05-01,C:\ebible_data\downloads\bsnNT--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\bsnNT,2025-05-01,C:\ebible_data\corpus\bsnNT.txt,2025-05-01,2025-05-10,bsn-bsnNT.txt,,4,,1185,,,,,dab-DBSV.txt
bsp,bsp,Baga Sitemu,Baga Sitemu,,ebible.org,Kitabu ka Kanu,Portions of the Holy Bible in the Baga Sitemu language of Guinea,True,Copyright © 2015 Pioneer Bible Translators,2025-04-29,http://ebible.org/bsp/,7,215,6577,8,108,4140,0,0,0,BSPPBT,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,bsp2015eb,,ltr,True,Gentium,Baga Sitemu Bible Portions,978-1-5313-0831-5,Latin,2025-04-29,bsp,C:\ebible_data\projects\bsp\copr.htm,Baga Sitemu,,Kitabu ka Kanu,by-nd,4,http://creativecommons.org/licenses/by-nd/4.0/,Pioneer Bible Translators,copyright © 2015,Translation by: Traducteurs Pionniers de la Bible,2025-05-01,C:\ebible_data\downloads\bsp--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\bsp,2025-05-01,C:\ebible_data\corpus\bsp.txt,2025-05-01,2025-05-10,bsp-bsp.txt,,1,,#N/A,,,,,bbb-bbbNTpo.txt
bss,bssNT,Akoose,Akoose,,ebible.org,Melɛ̌ Mékɔ̄ɔ̄lē,New Testament in Akoose (CM:bss:Akoose),True,"Copyright © 2011 Wycliffe Bible Translators, Inc.",2014-04-21,http://ebible.org/bssNT/,0,0,0,27,260,7931,0,0,0,BSSWBT,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,bss2011eb,,ltr,True,Gentium,Akoose NT,978-1-5313-0109-5,Latin,2014-05-15,bssNT,C:\ebible_data\projects\bssNT\copr.htm,Akoose,,Melɛ̌ Mékɔ̄ɔ̄lē,by-nc-nd,4,http://creativecommons.org/licenses/by-nc-nd/4.0/,"Wycliffe Bible Translators, Inc.",copyright © 2011,"Translation by: Wycliffe Bible Translators, Inc.",2025-05-01,C:\ebible_data\downloads\bssNT--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\bssNT,2025-05-01,C:\ebible_data\corpus\bssNT.txt,2025-05-01,2025-05-10,bss-bssNT.txt,,4,,1304,,,,,dad-dadNT.txt
buk,buk2013,Bugawac,Bugawac,,png.bible,Anötö ndê Yom Lêŋsêm Wakuc,Bugawac: Anötö ndê Yom Lêŋsêm Wakuc New Testament,False,Copyright © 2013 Lutheran Bible Translators Australia,2020-11-11,http://png.bible/buk2013/,0,0,0,27,260,7795,0,0,0,BUKWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,buk2013eb,,ltr,True,DejaVu Serif,Bugawac: Anötö ndê Yom Lêŋsêm Wakuc New Testament,,Latin,2020-11-12,buk2013,C:\ebible_data\private_projects\buk2013\copr.htm,Bugawac,,,Unknown,,,Lutheran Bible Translators Australia,copyright © 2013,,2025-04-30,C:\ebible_data\downloads\buk2013--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\buk2013,2025-04-30,C:\ebible_data\private_corpus\buk2013.txt,2025-04-30,2025-05-07,buk2013.txt,,4,,#N/A,,,,,bud-BASSARDC.txt
buk,buk,Bukawa,Bukawa,,png.bible,Anötö ndê Yom Lêŋsêm Wakuc,The New Testament in the Bukawa language of Papua New Guinea,True,Copyright © 2000 Lutheran Bible Translators Australia,2012-01-13,http://png.bible/buk/,0,0,0,27,260,7795,0,0,0,BUKLBT,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,buk2000eb,,ltr,True,Gentium,Bukawa NT,978-1-5313-0110-1,Latin,2020-10-09,buk,C:\ebible_data\projects\buk\copr.htm,Bukawa,,,by-nc-nd,4,http://creativecommons.org/licenses/by-nc-nd/4.0/,Lutheran Bible Translators Australia,copyright © 2000,Translation by: Lutheran Bible Translators Australia,2025-05-01,C:\ebible_data\downloads\buk--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\buk,2025-05-01,C:\ebible_data\corpus\buk.txt,2025-05-01,2025-05-10,buk-buk.txt,,4,,#N/A,,,,,dah-dah.txt
bus,bus,Bokobaru,Bokobaru,,ebible.org,Luda yã takada kↄ̃n Bokobaru yão,The New Testament and portions of the Old Testament in the Bokobaru language of Nigeria,True,Copyright © 2005 SIM International,2014-09-22,http://ebible.org/bus/,22,479,11459,27,260,7930,0,0,0,BUSSIM,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,bus2005eb,,ltr,True,Gentium Plus,Bokobaru Bible,978-1-5313-0111-8,Latin,2020-10-09,bus,C:\ebible_data\projects\bus\copr.htm,Bokobaru,,Luda yã takada kↄ̃n Bokobaru yão,by-nc-nd,4,http://creativecommons.org/licenses/by-nc-nd/4.0/,SIM International,copyright © 2005,Translation by: SIM,2025-05-01,C:\ebible_data\downloads\bus--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\bus,2025-05-01,C:\ebible_data\corpus\bus.txt,2025-05-01,2025-05-10,bus-bus.txt,,4,,#N/A,,,,,avt-avtNT.txt
bvd,bvd,Baegu,Baeggu,,ebible.org,Na Alangaia Falu 'ana Baea 'i Baegu,The New Testament in the Baeggu language of the Solomon Islands,True,"Copyright © 2016 Wycliffe Bible Translators, Inc.",2017-11-09,http://ebible.org/bvd/,0,0,0,27,260,7891,0,0,0,BVDWBT,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,bvd2016eb,,ltr,True,Gentium,Baegu New Testament,,Latin,2021-11-30,bvd,C:\ebible_data\projects\bvd\copr.htm,Baegu (Baeggu),,Na Alangaia Falu 'ana Baea 'i Baegu,by-nd,4,http://creativecommons.org/licenses/by-nd/4.0/,"Wycliffe Bible Translators, Inc.",copyright © 2016,Translation by: SITAG,2025-05-01,C:\ebible_data\downloads\bvd--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\bvd,2025-05-01,C:\ebible_data\corpus\bvd.txt,2025-05-01,2025-05-10,bvd-bvd.txt,,4,,244,,,,,dah-dahNT.txt
bvr,bvr,Burarra,Burarra,,ebible.org,Nyanyapa Arrku Gun-nika Gun-molamola Janguny: Minypa Jesus Christ Guna-ganyja Arrburrwa Gun-geka Rum,The New Testament and portions of the Old Testament in the Burarra language of coastal Arnhem Land in Northern Australia,True,Copyright © 2008-2023 Wycliffe Bible Translators,2025-03-04,http://ebible.org/bvr/,6,14,258,27,260,7914,0,0,0,BVRWBT,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,bvr2008eb,,ltr,True,DejaVu Serif,Burarra Scriptures,,Latin,2025-03-04,bvr,C:\ebible_data\projects\bvr\copr.htm,Burarra,,Nyanyapa Arrku Gun-nika Gun-molamola Janguny: Minypa Jesus Christ Guna-ganyja Arrburrwa Gun-geka Rum,by-nc-nd,4,http://creativecommons.org/licenses/by-nc-nd/4.0/,Wycliffe Bible Translators,copyright © 2008-2023,,2025-05-01,C:\ebible_data\downloads\bvr--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\bvr,2025-05-01,C:\ebible_data\corpus\bvr.txt,2025-05-01,2025-05-10,bvr-bvr.txt,,4,,270,,,,,bbc-XriBatakToba_2024_02_13.txt
bwo,bwo,Borni,Borna,,ebible.org,Handr Taara,The New Testament in the Borna Language of Ethiopia (Handr Taara),True,Copyright © 2018 The Word for the World International,2023-04-08,http://ebible.org/bwo/,0,0,0,27,260,7948,0,0,0,BWOTWF,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,bwo2018eb,,ltr,True,DejaVu Serif,Borna NT Latin Version,,Latin,2023-04-08,bwo,C:\ebible_data\projects\bwo\copr.htm,Borni (Borna),,Handr Taara,by,4,http://creativecommons.org/licenses/by/4.0/,The Word for the World International,copyright © 2018,,2025-05-01,C:\ebible_data\downloads\bwo--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\bwo,2025-05-01,C:\ebible_data\corpus\bwo.txt,2025-05-01,2025-05-10,bwo-bwo.txt,,4,,#N/A,,,,,dan-DBSV.txt
bwu,bwu,Buli (Ghana),Buli (Ghana),,ebible.org,The New Testament in the Buli language (Ghana),Buli: The New Testament in the Buli language (Ghana) (New Testament),False,"Copyright © 2003 Wycliffe Bible Translators, Inc.",2020-11-16,http://ebible.org/bwu/,0,0,0,27,260,7836,0,0,0,BWUWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,bwu2003eb,,ltr,True,DejaVu Serif,Buli: The New Testament in the Buli language (Ghana) (New Testament),,Latin,2020-11-14,bwu,C:\ebible_data\private_projects\bwu\copr.htm,Buli (Ghana),,Buli,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 2003,,2025-04-30,C:\ebible_data\downloads\bwu--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\bwu,2025-04-30,C:\ebible_data\private_corpus\bwu.txt,2025-04-30,2025-05-07,bwu.txt,,4,,#N/A,,,,,buk-BudKoya8.txt
bxh,bxh,Buhutu,Buhutu,,png.bible,Buka Tabuna Tefadi,"Mark, Acts, and selected excerpts of the Old Testament in the Buhutu language of Papua New Guinea",True,"Copyright © 2015 Wycliffe Bible Translators, Inc.",2015-10-06,http://png.bible/bxh/,29,221,2537,2,44,1662,0,0,0,BXHWBT,False,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,bxhwbt2015eb,,ltr,True,Gentium Plus,Buhutu Bible,978-1-5313-0112-5,Latin,2020-10-09,bxh,C:\ebible_data\projects\bxh\copr.htm,Buhutu,,,by-nc-nd,4,http://creativecommons.org/licenses/by-nc-nd/4.0/,"Wycliffe Bible Translators, Inc.",copyright © 2015,Translation by: Wycliffe Bible Translators,2025-05-01,C:\ebible_data\downloads\bxh--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\bxh,2025-05-01,C:\ebible_data\corpus\bxh.txt,2025-05-01,2025-05-10,bxh-bxh.txt,,4,,#N/A,,,,,atd-atdNT.txt
bxh,bxh24,Buhutu,Buhutu,,png.bible,Buhutu Matiu,Buhutu: Buhutu Matiu (Portions),False,Copyright © 2024 SIL International,2024-09-20,http://png.bible/bxh24/,0,0,0,1,28,1059,0,0,0,BXH24W,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,bxh2024eb,,ltr,True,Gentium Plus,Buhutu: Buhutu Matiu (Portions),,Latin,2024-09-20,bxh24,C:\ebible_data\private_projects\bxh24\copr.htm,Buhutu,,,Unknown,,,SIL International,copyright © 2024,,2025-04-30,C:\ebible_data\downloads\bxh24--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\bxh24,2025-04-30,C:\ebible_data\private_corpus\bxh24.txt,2025-04-30,2025-05-07,bxh24.txt,,1,,#N/A,,,,,buk-bukNT.txt
byr,byr,Yipma,Baruya,,png.bible,Yipma Genesis and New Testament,Genesis and The New Testament in the Yipma/Baruya language,True,"Copyright © 1993, 1994 Wycliffe Bible Translators, Inc.",2013-02-07,http://png.bible/byr/,1,50,168,27,260,7946,0,0,0,BYRPNG,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,byr1994eb,,ltr,True,Andika,Baruya NT+Genesis,978-1-5313-0113-2,Latin,2020-10-09,byr,C:\ebible_data\projects\byr\copr.htm,Yipma (Baruya),,,by-nc-nd,4,http://creativecommons.org/licenses/by-nc-nd/4.0/,"Wycliffe Bible Translators, Inc.","copyright © 1993, 1994",Translation by: Wycliffe Bible Translators,2025-05-01,C:\ebible_data\downloads\byr--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\byr,2025-05-01,C:\ebible_data\corpus\byr.txt,2025-05-01,2025-05-10,byr-byr.txt,,4,,#N/A,,,,,blx-AMIU_2024_07_02.txt
byr,byr-w,Yipma/Wagamwa,Yipma,Wagamwa,png.bible,Selected Scriptures in Yipma/Wagamwa,"Selected Scriptures in the Wagamwa dialect of the Yipma language (parts of John, 1 John, Romans, and Hebrews).",True,"Copyright © 2011 Wycliffe Bible Translators, Inc.",2015-01-02,http://png.bible/byr-w/,0,0,0,4,11,136,0,0,0,BYRWAG,False,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,byrW2011eb,,ltr,True,Gentium,Yipma Wagamwa NT,978-1-5313-0114-9,Latin,2020-10-09,,,,,,,,,,,,,,,,,C:\ebible_data\corpus\byr-byr-w.txt,,,,,,,#N/A,,,,,dao-DO92apo.txt
byx,byx,Qaqet,Qaqet,,png.bible,A SLURLKA AA LANGINKA AMA IAMESKA,The New Testament and Ruth in the Qaqet Language of Papua New Guinea,True,Copyright © 1996 Papua New Guinea Bible Translation Association,2022-10-31,http://png.bible/byx/,1,4,80,27,260,7792,0,0,0,BYXPNG,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,byx1996eb,,ltr,True,Gentium,Qaqet Bible,978-1-5313-0115-6,Latin,2013-01-23,byx,C:\ebible_data\projects\byx\copr.htm,Qaqet,,,by-nd,4,http://creativecommons.org/licenses/by-nd/4.0/,Papua New Guinea Bible Translation Association,copyright © 1996,Translation by: PNG Bible Translation Association,2025-05-01,C:\ebible_data\downloads\byx--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\byx,2025-05-01,C:\ebible_data\corpus\byx.txt,2025-05-01,2025-05-10,byx-byx.txt,,4,,299,,,,,blx-blx_names.txt
bzd,bzdNTpo,Bribri,Bribri,,ebible.org,Tte Pa̱'a̱li̱ Me' Skëköl tö Se' a̱,New Testament and Shorter Old Testament in Bribri (CS:bzd:Bribri),True,"Copyright © 2010 Wycliffe Bible Translators, Inc.",2014-04-22,http://ebible.org/bzdNTpo/,3,74,2071,27,260,7702,0,0,0,BZDWBT,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,bzd2010eb,,ltr,True,Gentium,Bribri Bible,978-1-5313-0116-3,Latin,2014-04-23,bzdNTpo,C:\ebible_data\projects\bzdNTpo\copr.htm,Bribri,,Tte Pa̱'a̱li̱ Me' Skëköl tö Se' a̱,by-nc-nd,4,http://creativecommons.org/licenses/by-nc-nd/4.0/,"Wycliffe Bible Translators, Inc.",copyright © 2010,"Translation by: Wycliffe Bible Translators, Inc.",2025-05-01,C:\ebible_data\downloads\bzdNTpo--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\bzdNTpo,2025-05-01,C:\ebible_data\corpus\bzdNTpo.txt,2025-05-01,2025-05-10,bzd-bzdNTpo.txt,,4,,#N/A,,,,,bdq-BBU2_2024_05_07.txt
bzh,bzh,"Buang, Central/Mapos",Buang,Central/Mapos,png.bible,Ġaġek Mewis,The New Testament in the Central/Mapos dialect of the Buang language of Papua New Guinea,True,Copyright © 2003 The Bible Society of Papua New Guinea,2015-01-02,http://png.bible/bzh/,0,0,0,27,260,7946,0,0,0,BZHPNG,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,bzh2003eb,,ltr,True,Gentium,Buang NT,978-1-5313-0117-0,Latin,2020-10-09,bzh,C:\ebible_data\projects\bzh\copr.htm,"Buang, Central/Mapos (Buang)",Central/Mapos,,by-nc-nd,4,http://creativecommons.org/licenses/by-nc-nd/4.0/,Language:,Copyright © 2003 The Bible Society of Papua New Guinea,Translation by: Wycliffe Bible Translators,2025-05-01,C:\ebible_data\downloads\bzh--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\bzh,2025-05-01,C:\ebible_data\corpus\bzh.txt,2025-05-01,2025-05-10,bzh-bzh.txt,,4,,#N/A,,,,,daq-DandOT_2025_02_20.txt
bzi,bzi,Bisu,Bisu,,ebible.org,จี่วีดม้าม้า พระคัมภีร์ อางซื่อ บี่ซู่ ต่าง,Bisu: จี่วีดม้าม้า พระคัมภีร์ อางซื่อ บี่ซู่ ต่าง New Testament,False,"Copyright © 2015 Wycliffe Bible Translators, Inc.",2020-11-16,http://ebible.org/bzi/,0,0,0,27,260,7900,0,0,0,BZIWBT,False,http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A,bzi2015eb,,ltr,True,Noto Serif Thai,Bisu: จี่วีดม้าม้า พระคัมภีร์ อางซื่อ บี่ซู่ ต่าง New Testament,,Thai,2020-11-14,bzi,C:\ebible_data\private_projects\bzi\copr.htm,Bisu,,Bisu,Unknown,,,"Wycliffe Bible Translators, Inc.",copyright © 2015,,2025-04-30,C:\ebible_data\downloads\bzi--2025-04-30.zip,2025-04-30,C:\ebible_data\private_projects\bzi,2025-04-30,C:\ebible_data\private_corpus\bzi.txt,2025-04-30,2025-05-07,bzi.txt,,4,,#N/A,,,,,buu-BudKoya8.txt
bzj,bzj,Bileez Kriol,Belize Kriol English,,ebible.org,Di Nyoo Testiment eena Bileez Kriol,New Testament in Belize Kriol English (BH:bzj:Belize Kriol English),True,"Copyright © 2012 Wycliffe Bible Translators, Inc.",2022-12-21,http://ebible.org/bzj/,0,0,0,27,260,7849,0,0,0,BZJWBT,False,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,bzj2012eb,,ltr,True,Gentium Plus,New Testament in Belize Kriol English (BH:bzj:Belize Kriol English),,Latin,2014-07-29,bzj,C:\ebible_data\projects\bzj\copr.htm,Bileez Kriol (Belize Kriol English),,Di Nyoo Testiment eena Bileez Kriol,by-nc-nd,4,http://creativecommons.org/licenses/by-nc-nd/4.0/,"Wycliffe Bible Translators, Inc.",copyright © 2012,"Translation by: Wycliffe Bible Translators, Inc.",2025-05-01,C:\ebible_data\downloads\bzj--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\bzj,2025-05-01,C:\ebible_data\corpus\bzj.txt,2025-05-01,2025-05-10,bzj-bzj.txt,,4,,#N/A,,,,,dar-CARS_JON.txt
caa,caa,Chortí,Chorti,,ebible.org,Uyojroner e Dios xeꞌ Tzꞌijbꞌabꞌir Tama e Onian Tiempo,"The New Testament and Genesis, Ruth, Esther, and Jonah in the Chorti language of Guatemala",True,"Copyright © 1996, 2012, 2013, 2023 Wycliffe Bible Translators, Inc. and Evangel Bible Translators, International",2023-08-23,http://ebible.org/caa/,4,68,1832,27,260,7956,0,0,0,CAAWBT,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,caa2013eb,,ltr,True,Gentium Plus,Chorti Bible,978-1-5313-0119-4,Latin,2013-07-20,caa,C:\ebible_data\projects\caa\copr.htm,Chortí (Chorti),,Uyojroner e Dios xeꞌ Tzꞌijbꞌabꞌir Tama e Onian Tiempo,by-nc-nd,4,http://creativecommons.org/licenses/by-nc-nd/4.0/,"Wycliffe Bible Translators, Inc. and Evangel Bible Translators, International","copyright © 1996, 2012, 2013, 2023","Translation by: Evangel Bible Translators, International and Wycliffe Bible Translators",2025-05-01,C:\ebible_data\downloads\caa--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\caa,2025-05-01,C:\ebible_data\corpus\caa.txt,2025-05-01,2025-05-10,caa-caa.txt,,4,,#N/A,,,,,bch-BCH_2023_10_20.txt
