languageCode,translationId,script,Count - script,dialect,homeDomain,title,description,Redistributable,Copyright,UpdateDate,publicationURL,OTbooks,OTchapters,OTverses,NTbooks,NTchapters,NTverses,DCbooks,DCchapters,DCverses,FCBHID,Certified,inScript,swordName,rodCode,textDirection,downloadable,font,shortTitle,PODISBN,script,sourceDate,licence_ID,licence_File,licence_Language,licence_Dialect,licence_Vernacular_Title,licence_Licence_Type,licence_Licence_Version,licence_CC_Licence_Link,licence_Copyright_Holder,licence_Copyright_Years,licence_Translation_by,licence_date_read,status_download_path,status_download_date,status_unzip_path,status_unzip_date,status_extract_path,status_extract_date,status_extract_renamed_date,status_extract_original_filename,status_last_error,status_inferred_versification,,File exists in scripture folder,MT\Scripture filename,Comparison,,,Files in Scripture Folder
fra,fraLSG,Devanagari (Nagari),3,,ebible.org,Louis Segond 1910,"The Holy Bible in French, Louis Segond version of 1910",True,public domain,2025-04-18,http://ebible.org/fraLSG/,39,929,23211,27,260,7959,0,0,0,FRELSG,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,fraLSG1910eb,,ltr,True,Gentium,French Louis Segond 1910 Bible,978-1-5313-0239-9,Latin,2025-04-18,fraLSG,C:\ebible_data\projects\fraLSG\copr.htm,,,Louis Segond 1910,Public Domain,,,Public Domain,,,2025-05-01,C:\ebible_data\downloads\fraLSG--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\fraLSG,2025-05-01,C:\ebible_data\corpus\fraLSG.txt,2025-05-01,2025-05-10,fra-fraLSG.txt,,4,,1496,,Identical,,,aia-aia.txt
gvn,gvn,Ethiopic,2,,ebible.org,Godumu Kuku,Portions of the Holy Bible in the Kuku-Yalanji language of Australia,True,"Copyright © 1984 Wycliffe Bible Translators, Inc.",2019-05-14,http://ebible.org/gvn/,21,172,521,27,260,7783,0,0,0,GVNWBT,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,gvn1984eb,,ltr,True,DejaVu Serif,Kuku-Yalanji Bible,,Latin,2019-05-14,gvn,C:\ebible_data\projects\gvn\copr.htm,Kuku Yalanji (Kuku-Yalanji),,Godumu Kuku,by-nc-nd,4,http://creativecommons.org/licenses/by-nc-nd/4.0/,"Wycliffe Bible Translators, Inc.",copyright © 1984,,2025-05-01,C:\ebible_data\downloads\gvn--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\gvn,2025-05-01,C:\ebible_data\corpus\gvn.txt,2025-05-01,2025-05-10,gvn-gvn.txt,,4,,1640,aai-aaiNT.txt,Identical,,,awb-awbNT.txt
ind,ind,Ethiopic (Geʻez),2,,ebible.org,"Alkitab Terjemahan Sederhana Indonesia, Edisi Ketiga","The New Testament in the Indonesian language,  Perjanjian Baru dalam Terjemahan Sederhana Indonesia Edisi Kedua translation",True,Copyright © 2021 oleh Yayasan Alkitab BahasaKita (Albata),2023-11-24,http://ebible.org/ind/,14,308,8163,27,260,7690,0,0,0,INDOBO,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,ind2015eb,,ltr,True,Gentium,Indonesian Bible (TSI),978-1-5313-0832-2,Latin,2023-11-25,ind,C:\ebible_data\projects\ind\copr.htm,bahasa Indonesia (Indonesian),,"Alkitab Terjemahan Sederhana Indonesia, Edisi Ketiga",by-sa,4,http://creativecommons.org/licenses/by-sa/4.0/,oleh Yayasan Alkitab BahasaKita (Albata),copyright © 2021,Translation by: Albata,2025-05-01,C:\ebible_data\downloads\ind--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\ind,2025-05-01,C:\ebible_data\corpus\ind.txt,2025-05-01,2025-05-10,ind-ind.txt,,4,,2045,acf-acfNT.txt,Identical,,,azg-azgNT.txt
tkr,tkr,Gujarati,3,,ebible.org,Tsakhur,Portions of the Holy Bible in the Tsakhur language of Azerbaijan,True,Copyright © 2022 Pioneer Bible Translators,2023-04-18,http://ebible.org/tkr/,14,184,4153,5,58,2116,0,0,0,TKRIBT,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,tkr2022eb,,ltr,True,DejaVu Serif,Tsakhur Bible,,Latin,2023-04-19,tkr,C:\ebible_data\projects\tkr\copr.htm,Ts‘əxna miz (Tsakhur),,Tsakhur,by-sa,4,http://creativecommons.org/licenses/by-sa/4.0/,Pioneer Bible Translators,copyright © 2022,,2025-05-01,C:\ebible_data\downloads\tkr--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\tkr,2025-05-01,C:\ebible_data\corpus\tkr.txt,2025-05-01,2025-05-10,tkr-tkr.txt,,5,,#N/A,acr-acr.txt,Identical,,,azj-AZB09.txt
pjt,pjt,Gurmukhi,1,,ebible.org,Tjukurpa Palya,Portions of the Holy Bible in the Pitjantjatjara language of Australia,True,Copyright © 2019 Bible Society of Australia,2020-04-23,http://ebible.org/pjt/,17,229,3473,27,260,7507,0,0,0,PJTBSA,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,pjt2019eb,,ltr,True,DejaVu Serif,Pitjantjatjara Shorter Bible,,Latin,2019-06-14,pjt,C:\ebible_data\projects\pjt\copr.htm,Pitjantjatjara,,Tjukurpa Palya,by-nc-nd,4,http://creativecommons.org/licenses/by-nc-nd/4.0/,Bible Society of Australia,copyright © 2019,"Translation by: The Pitjantjatjara Bible Translation Project, Wycliffe Bible Translators and Bible Society Australia.",2025-05-01,C:\ebible_data\downloads\pjt--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\pjt,2025-05-01,C:\ebible_data\corpus\pjt.txt,2025-05-01,2025-05-10,pjt-pjt.txt,,4,,3394,abc-AARV_2024_07_02.txt,Has more data and has been edited. No obvious changes to versification.,,,ayr-AYBOL1986.txt
awx,awx,Han (Simplified variant),1,,png.bible,Awara Baibel,"Genesis, Ruth, and Jonah in the Awara Language of Papua New Guinea",True,"Copyright © 2011 Wycliffe Bible Translators, Inc.",2025-04-26,http://png.bible/awx/,3,58,1637,0,0,0,0,0,0,AWXWBT,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,awx2011eb,,ltr,True,Andika,Awara Bible portions,978-1-5313-0066-1,Latin,2025-04-26,awx,C:\ebible_data\projects\awx\copr.htm,Awara,,,by-nc-nd,4,http://creativecommons.org/licenses/by-nc-nd/4.0/,"Wycliffe Bible Translators, Inc.",copyright © 2011,Translation by: Wycliffe Bible Translators,2025-05-01,C:\ebible_data\downloads\awx--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\awx,2025-05-01,C:\ebible_data\corpus\awx.txt,2025-05-01,2025-05-10,awx-awx.txt,,4,,1159,awx-awx.txt,Files identical,,,bdp-BDP_BNDE_2025_04_08.txt
jao,jao,Hebrew,3,,ebible.org,"Selections from Luke, Mark, Acts, Genesis, Ruth, and Romans","Selections from Luke, Mark, Acts, Genesis, Ruth, and Romans in the Yanyuwa language of Australia",True,"Copyright © 1980 Wycliffe Bible Translators, Inc.",2019-08-27,http://ebible.org/jao/,2,15,420,4,22,396,0,0,0,JAOWBT,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,jao1980eb,,ltr,True,DejaVu Serif,Yanyuwa Bible portions,,Latin,2019-08-28,jao,C:\ebible_data\projects\jao\copr.htm,Yanyuwa,,"Selections from Luke, Mark, Acts, Genesis, Ruth, and Romans",by-nc-nd,4,http://creativecommons.org/licenses/by-nc-nd/4.0/,"Wycliffe Bible Translators, Inc.",copyright © 1980,,2025-05-01,C:\ebible_data\downloads\jao--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\jao,2025-05-01,C:\ebible_data\corpus\jao.txt,2025-05-01,2025-05-10,jao-jao.txt,,1,,2079,jao-jao.txt,Files identical,,,bhd-BHD_ai1_2025_03_31.txt
wat,wat,Hindi,1,,png.bible,Buk Baibel long Kaninuwa,Portions of the Holy Bible in the Kaninuwa language of Papua New Guinea,True,"Copyright © 2016 Wycliffe Bible Translators, Inc.",2016-04-13,http://png.bible/wat/,3,61,959,2,44,1640,0,0,0,WATWBT,False,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,wat2016eb,,ltr,True,Gentium,Kaninuwa Bible,978-1-5313-0691-5,Latin,2020-10-09,wat,C:\ebible_data\projects\wat\copr.htm,Kaninuwa,,,by-nc-nd,4,http://creativecommons.org/licenses/by-nc-nd/4.0/,"Wycliffe Bible Translators, Inc.",copyright © 2016,Translation by: Wycliffe Bible Translators,2025-05-01,C:\ebible_data\downloads\wat--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\wat,2025-05-01,C:\ebible_data\corpus\wat.txt,2025-05-01,2025-05-10,wat-wat.txt,,4,,4518,wat-wat.txt,eBible missing some data at the ends of certain verses. ,i~kanasuna in our data shows as i kanasuna in eBible text.,,bea-BEA1968.txt
yon,yon,Kannada,3,,png.bible,Buk Baibel long tokples Yongkom,"Genesis, Psalms, and The New Testament in the Yongkom Language (also called the Yonggom language) of Papua New Guinea",True,Copyright © 2003 The Bible Society of Papua New Guinea,2012-10-23,http://png.bible/yon/,2,200,3962,27,260,7873,0,0,0,YONPNG,False,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,yon2003eb,,ltr,True,Gentium,Yongkom NT + partial OT,978-1-5313-0727-1,Latin,2011-08-09,yon,C:\ebible_data\projects\yon\copr.htm,Yongkom,,,by-nc-nd,4,http://creativecommons.org/licenses/by-nc-nd/4.0/,The Bible Society of Papua New Guinea,copyright © 2003,Translation by: Wycliffe Bible Translators,2025-05-01,C:\ebible_data\downloads\yon--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\yon,2025-05-01,C:\ebible_data\corpus\yon.txt,2025-05-01,2025-05-10,yon-yon.txt,,4,,4660,yon-yon.txt,eBible has |H and|U at the end of some verses. Few orthographic differences. No obvious versification differences.,,,bla-BLA1890.txt
mbb,mbbOT,Kayah Li,1,,ebible.org,Is Lalag te Megbevayà,"Old Testament only in Manobo, Western Bukidnon",True,"Copyright © 2013 Wycliffe Bible Translators, Inc.",2014-12-09,http://ebible.org/mbbOT/,39,929,22339,0,0,0,0,0,0,MBBWBT,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,mbb2013eb,,ltr,True,Gentium,Western Bukidnon Manobo OT,978-1-5313-0392-1,Latin,2014-04-30,mbbOT,C:\ebible_data\projects\mbbOT\copr.htm,"Manobo, Western Bukidnon",,Is Lalag te Megbevayà,by-nc-nd,4,http://creativecommons.org/licenses/by-nc-nd/4.0/,"Wycliffe Bible Translators, Inc.",copyright © 2013,"Translation by: Wycliffe Bible Translators, Inc.",2025-05-01,C:\ebible_data\downloads\mbbOT--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\mbbOT,2025-05-01,C:\ebible_data\corpus\mbbOT.txt,2025-05-01,2025-05-10,mbb-mbbOT.txt,,4,,2714,,eBible has <range> markers correct – Scripture has three missing in NEH,,,anp-Ang_0905_AI_Char.txt
kpg,kpg,Khmer,5,,ebible.org,Beebaa Dabu,"The Holy Bible in the Kapingamarangi language of the Federated States of Micronesia, spoken on the Kapingamarangi and Ponape islands, Caroline Islands",True,"Copyright © 1996, 2014 The Kapingamarangi Bible translation committee",2015-04-24,http://ebible.org/kpg/,39,929,22303,27,260,7937,0,0,0,KPGKPT,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,kpg2014eb,,ltr,True,Gentium Plus,Kapingamarangi Bible,978-1-5313-0348-8,Latin,2015-07-15,kpg,C:\ebible_data\projects\kpg\copr.htm,Kapingamarangi,,Beebaa Dabu,by-nd,4,http://creativecommons.org/licenses/by-nd/4.0/,Language:,"Copyright © 1996, 2014 The Kapingamarangi Bible translation committee",Translation by: The Kapingamarangi Bible translation committee,2025-05-01,C:\ebible_data\downloads\kpg--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\kpg,2025-05-01,C:\ebible_data\corpus\kpg.txt,2025-05-01,2025-05-10,kpg-kpg.txt,,4,,2315,,eBible has <range> markers correct – Scripture has one missing on the line after the range.,,,amn-amn.txt
eng,engDRA,Lao,1,archaic American,ebible.org,Douay-Rheims 1899,"The Holy Bible in English, Douay-Rheims American Edition of 1899, translated from the Latin Vulgate",True,public domain,2022-11-03,http://ebible.org/engDRA/,39,937,23487,27,260,7951,7,137,4373,ENGDRV,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,engDRA1899eb,3222,ltr,True,Gentium,Douay-Rheims 1899,978-1-5313-0223-8,Latin,2022-11-03,engDRA,C:\ebible_data\projects\engDRA\copr.htm,,,Douay-Rheims 1899,Public Domain,,,Public Domain,,,2025-05-01,C:\ebible_data\downloads\engDRA--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\engDRA,2025-05-01,C:\ebible_data\corpus\engDRA.txt,2025-05-01,2025-05-10,eng-engDRA.txt,,3,,#N/A,en-engDRA.txt,Data missing in Daniel and HOS in eBible version. ,,,afb-afbQAV_2024_01_10.txt
cek,cekak,Latin,1285,Asaang Khongca,ebible.org,Asang Khongca Bible (2019),The Holy Bible in the Asang Khongca language of Mynmar,True,public domain,2020-09-24,http://ebible.org/cekak/,39,929,23127,27,260,7948,0,0,0,CEKAKB,False,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,cekak2019eb,,ltr,True,DejaVu Serif,Asang Khongca Bible,,Latin,2021-11-30,cekak,C:\ebible_data\projects\cekak\copr.htm,,,Asang Khongca Bible (2019),Public Domain,,,Public Domain,,,2025-05-01,C:\ebible_data\downloads\cekak--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\cekak,2025-05-01,C:\ebible_data\corpus\cekak.txt,2025-05-01,2025-05-10,cek-cekak.txt,,4,,#N/A,cekak.txt,Completely different,,,acw-HEJ_2023_10_27.txt
eng,engULB,Malayalam,3,,ebible.org,Unlocked Literal Bible,"The Holy Bible in English, Unlocked Literal Bible translation",True,Copyright © 2017 Door43 World Missions Community,2020-12-04,http://ebible.org/engULB/,39,929,23135,27,260,7959,0,0,0,ENGULB,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,engULB2017eb,,ltr,True,DejaVu Serif,Unlocked Literal Bible,,Latin,2019-06-13,engULB,C:\ebible_data\projects\engULB\copr.htm,English,,Unlocked Literal Bible,by-sa,4,http://creativecommons.org/licenses/by-sa/4.0/,Door43 World Missions Community,copyright © 2017,Translation by: Door43 World Missions Community,2025-05-01,C:\ebible_data\downloads\engULB--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\engULB,2025-05-01,C:\ebible_data\corpus\engULB.txt,2025-05-01,2025-05-10,eng-engULB.txt,,4,,1266,,Almost identical,,,agg-aggNT.txt
hau,hausa,Nepali,1,,ebible.org,"Biblica® Buɗaɗɗen Littafi Mai Tsarki, Sabon Rai Don Kowa™","Hausa: Biblica® Buɗaɗɗen Littafi Mai Tsarki, Sabon Rai Don Kowa™ (Bible) of Nigeria",True,"Copyright © 2020 Biblica, Inc.",2025-02-26,http://ebible.org/hausa/,39,929,23145,27,260,7942,0,0,0,HAUBIB,False,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,hausa2020eb,,ltr,True,DejaVu Serif,Hausa Contemporary Bible,,Latin,2021-04-23,hausa,C:\ebible_data\projects\hausa\copr.htm,Hausa,,"Biblica® Buɗaɗɗen Littafi Mai Tsarki, Sabon Rai Don Kowa™",by-sa,4,http://creativecommons.org/licenses/by-sa/4.0/,"Biblica, Inc.",copyright © 2020,,2025-05-01,C:\ebible_data\downloads\hausa--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\hausa,2025-05-01,C:\ebible_data\corpus\hausa.txt,2025-05-01,2025-05-10,hau-hausa.txt,,4,,1660,,9 verses different.,,,alp-ALP_2024_04_02.txt
beo,beo,Oriya,2,,png.bible,GODE EA SIA: IDA:IWANE GALA,The Holy Bible in the Bedamuni language of Papua New Guinea,True,Copyright © 2000 Tom Hoey,2024-05-01,http://png.bible/beo/,39,929,22134,27,260,7925,0,0,0,BEOPIO,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,beo2001eb,,ltr,True,DejaVu Serif,Bedamuni Bible,978-1-5313-0079-1,Latin,2024-05-01,beo,C:\ebible_data\projects\beo\copr.htm,Bedamuni (Beami),,,by-sa,4,http://creativecommons.org/licenses/by-sa/4.0/,Language:,Copyright © 2000 Tom Hoey,Translation by: Tom Hoey,2025-05-01,C:\ebible_data\downloads\beo--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\beo,2025-05-01,C:\ebible_data\corpus\beo.txt,2025-05-01,2025-05-10,beo-beo.txt,,4,,189,,10 slight differences. Not versification differences.,,,acu-ACUBp_2025_03_27.txt
