file	Total	Books	OT	NT	DT	GEN	EXO	LEV	NUM	DEU	JOS	JDG	RUT	1SA	2SA	1KI	2KI	1CH	2CH	EZR	NEH	EST	JOB	PSA	PRO	ECC	SNG	ISA	JER	LAM	EZK	DAN	HOS	JOL	AMO	OBA	JON	MIC	NAM	HAB	ZEP	HAG	ZEC	MAL	MAT	MRK	LUK	JHN	ACT	ROM	1CO	2CO	GAL	EPH	PHP	COL	1TH	2TH	1TI	2TI	TIT	PHM	HEB	JAS	1PE	2PE	1JN	2JN	3JN	JUD	REV	TOB	JDT	ESG	WIS	SIR	BAR	LJE	S3Y	SUS	BEL	1MA	2MA	3MA	4MA	1ES	2ES	MAN	PS2	ODA	PSS	EZA	JUB	ENO
aai-aai.txt	7957	27	0	7957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1071	678	1151	879	1006	433	437	256	149	155	104	95	89	47	113	83	46	25	303	108	105	61	105	13	15	25	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aak-aak.txt	7957	27	0	7957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1071	678	1151	879	1006	433	437	256	149	155	104	95	89	47	113	83	46	25	303	108	105	61	105	13	15	25	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aau-aau.txt	7946	27	0	7946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1068	675	1149	879	1004	432	437	256	149	155	104	95	89	47	113	83	46	25	303	108	105	61	105	13	15	25	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aaz-aaz.txt	9490	28	1533	7957	0	1533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1071	678	1151	879	1006	433	437	256	149	155	104	95	89	47	113	83	46	25	303	108	105	61	105	13	15	25	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abt-abt-maprik.txt	7957	27	0	7957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1071	678	1151	879	1006	433	437	256	149	155	104	95	89	47	113	83	46	25	303	108	105	61	105	13	15	25	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abt-abt-wosera.txt	7957	27	0	7957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1071	678	1151	879	1006	433	437	256	149	155	104	95	89	47	113	83	46	25	303	108	105	61	105	13	15	25	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abx-abx.txt	7940	27	0	7940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1068	674	1149	878	1002	432	437	256	149	155	104	95	89	47	113	83	46	25	303	108	105	61	105	13	14	25	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aby-aby.txt	7957	27	0	7957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1071	678	1151	879	1006	433	437	256	149	155	104	95	89	47	113	83	46	25	303	108	105	61	105	13	15	25	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acf-acfNT.txt	7957	27	0	7957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1071	678	1151	879	1006	433	437	256	149	155	104	95	89	47	113	83	46	25	303	108	105	61	105	13	15	25	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acr-acr-acc.txt	7956	27	0	7956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1071	678	1151	879	1006	433	437	256	149	155	104	95	89	47	113	83	46	25	303	108	105	61	105	13	15	25	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acr-acrNNT.txt	7957	27	0	7957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1071	678	1151	879	1006	433	437	256	149	155	104	95	89	47	113	83	46	25	303	108	105	61	105	13	15	25	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
